group,number in group,flow,session no,node
2,28,"0,00358508",1653,169
5,9,"0,00437427",1658,170
2,29,"0,00358508",1660,171
4,5,"0,00355488",1661,172
5,13,"0,00308821",1665,173
7,7,"0,00178755",1665,173
6,15,"0,00154343",1671,174
10,3,"0,000474683",1672,175
8,6,"0,00147643",1673,176
2,10,"0,00889999",1675,177
3,30,"0,000516318",1678,178
4,54,"0,000369486",1678,178
9,17,"0,00068901",1678,178
4,26,"0,00147484",1683,179
4,51,"0,000477916",1684,180
9,20,"0,000280668",1684,180
1,10,"0,0133797",1686,181
10,7,"0,000217142",1688,182
1,11,"0,0133797",1701,183
4,7,"0,00323917",1716,184
8,9,"0,00142642",1724,185
5,10,"0,00437427",1735,186
6,7,"0,00346354",1761,187
8,4,"0,00159341",1808,188
4,18,"0,00184906",1817,189
7,2,"0,00524912",1819,190
9,9,"0,00138601",1820,191
9,22,"4,83852E-005",1821,192
10,14,"6,23017E-005",1821,192
4,55,"0,000285908",1823,193
10,13,"9,28809E-005",1823,193
7,5,"0,00412958",1824,194
9,16,"0,000758643",1825,195
7,4,"0,00507034",1826,196
2,19,"0,00828209",1827,197
1,19,"0,0102092",1828,198
2,34,"0,0021722",1828,198
2,11,"0,00889999",1854,199
8,5,"0,00155696",1868,200
3,2,"0,00885307",1872,201
3,11,"0,00551457",1873,202
9,18,"0,000678892",1874,203
8,8,"0,00146268",1875,204
3,3,"0,00656938",1880,205
4,27,"0,00146563",1883,206
6,18,"0,00101413",1890,207
4,11,"0,00282584",1894,208
8,10,"0,00140279",1895,209
2,12,"0,00889999",1898,210
4,8,"0,00320073",1903,211
4,35,"0,00102284",1904,212
8,2,"0,00201546",1924,213
5,8,"0,00438766",1926,214
7,11,"0,000817084",1926,214
4,36,"0,00101833",1929,215
6,13,"0,00172601",1934,216
10,10,"0,000138471",1938,217
5,15,"0,00247575",1946,218
2,20,"0,00828209",1978,219
8,7,"0,00147643",1983,220
4,47,"0,000606991",2043,221
5,19,"0,000154102",2044,222
8,19,"0,000447676",2044,222
9,21,"0,000179508",2044,222
10,8,"0,000185706",2044,222
8,15,"0,0010784",2045,223
4,58,"0,000166075",2046,224
4,39,"0,000821102",2053,225
3,15,"0,00343901",2055,226
4,43,"0,000629973",2077,227
4,32,"0,00133002",2097,228
3,27,"0,00101146",2130,229
6,21,"0,000650613",2130,229
5,18,"0,00165335",2148,230
7,8,"0,00156823",2148,230
9,14,"0,000826483",2148,230
1,28,"0,0023258",2153,231
3,18,"0,00231865",2153,231
7,12,"0,000505936",2153,231
