"","N","L","a","p","S","d","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","diam","cl","mu","te","si","apl"
"608",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"609",6,6,2.25574890974031,0.700036232465194,1.01140426470735,0.2,0,3,1,0,0,0,1,0,0,0,0,0,0,4,0,2,0.135213020743189,0.409090909090909,2.0625
"610",2,2,Inf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,2,0,0,1
"611",4,4,Inf,1,0,0.333333333333333,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
"612",5,4,4.28840461650191,0.819861407986192,0.673011667009257,0.2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
"613",2,2,Inf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,2,0,0,1
"614",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"615",5,7,2.62303192100008,0.410824527408434,1.05492016798614,0.35,0,2,2,1,0,0,1,0,1,0,0,0,0,5,0.333333333333333,2,0.4,0.713202999942308,2.05
"616",3,3,NA,1,1.09861228866811,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0.333333333333333,0,1.25
"617",4,5,NA,1,0.693147180559945,0.416666666666667,1,0,0,1,0,0,0,0,2,0,0,0,0,3,0.75,0,0.25,0.375,1.75
"618",25,24,1.54592296427349,0.819861407986192,0.278769371768587,0.04,0,23,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,8.66666666666667
"619",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"620",3,2,2.92359338785195,0.819861407986192,0.636514168294813,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.33333333333333
"621",28,28,1.5751499919295,0.965686590806193,0.408697725074314,0.037037037037037,1,29,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0.0346768069448096,0.645232815964523,7.78014184397163
"622",6,5,2.92359338785195,0.819861407986192,0.636514168294813,0.166666666666667,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2.33333333333333
"623",9,8,2.06431413353057,0.819861407986192,0.529706199057654,0.111111111111111,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3.33333333333333
"624",7,6,2.45514222391639,0.819861407986192,0.598269588585257,0.142857142857143,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2.66666666666667
"625",2,2,Inf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,2,0,0,1
"626",5,4,4.28840461650191,0.819861407986192,0.673011667009257,0.2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
"627",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"628",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"629",21,27,2.47065051610317,0.0265997045069352,0.750968778249343,0.0642857142857143,10,42,6,11,0,0,6,0,1,0,0,0,0,8,0.0384615384615385,2,0.146390643115674,2.5368224292625,3.60982658959538
"630",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"631",10,9,1.96179669392598,0.819861407986192,0.500402423538188,0.1,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3.66666666666667
"632",10,13,2.2877747340219,0.91347551349969,1.08889997534522,0.144444444444444,2,10,1,1,0,0,1,0,0,2,0,0,0,7,0.285714285714286,2,0.330235418429735,1.0622260568662,2.90163934426229
"633",7,6,2.45514222391639,0.819861407986192,0.598269588585257,0.142857142857143,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2.66666666666667
"634",13,15,2.38974234209041,0.164079197726652,0.793730055158425,0.0961538461538461,1,11,3,0,0,0,2,0,0,0,0,0,0,10,0,4,0.130345306140348,1.00787401574803,4.19298245614035
"635",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"636",4,5,NA,1,1.38629436111989,0.416666666666667,0,1,0,0,0,0,1,0,0,1,0,0,0,6,0.6,2,0.25,0.981664889837066,1.44444444444444
"637",8,8,2.25574890974031,0.765763173908239,0.735621939758795,0.142857142857143,0,5,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0.0739590973227909,0,2.93103448275862
"638",3,4,2.92359338785195,0.819861407986192,0.636514168294813,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,2,0.333333333333333,0.551753809406899,1.33333333333333
"639",4,5,2.21365230216912,0.819861407986192,0.562335144618808,0.416666666666667,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0.6,2,0.229573958513622,0.5,1.75
"640",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"641",10,16,2.6444746955832,0.164079197726652,0.940447988655326,0.177777777777778,0,3,6,0,0,0,3,7,0,0,0,0,0,6,0,12,0.286639167745795,2.25529595013962,2.86666666666667
"642",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"643",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"644",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"645",5,4,4.28840461650191,0.819861407986192,0.673011667009257,0.2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
